,Hotel Name,Hotel Price,Hotel Bedrooms,Hotel Summery,Hotel Update Date
434, Apartment in the centre of Royan close to the market and beachesPoitou-Charentes, From £390 /Week," Apartment, Bedroom(s): 2, Sleeps: 4"," The large, modern chalet-style apartment is on the top (fourth) floor of a quiet complex with views across Royan to the Gironde.", ID#: 1289 |  Last update: 15-Feb-2022
435, Maison RoseBrittany, From £863 /Week," House, Bedroom(s): 3, Sleeps: 6"," Maison Rose is a house in a lovely position in a quiet village on the River Rance, overlooking the marina.", ID#: 1278 |  Last update: 19-Oct-2021
436, Brand new apartment amidst the vineyards only 10 mins from the seaLanguedoc-Roussillon, From £561 /Week," Apartment, Bedroom(s): 2, Sleeps: 4", This superb 2 bedroom/2.5 bathroom apartment is situated on a working vineyard with wine-tasting and tour included and is only a few minutes drive from the seaside town and beach at Narbonne Plage., ID#: 1261 |  Last update: 01-Nov-2021
437, Moulin le Ponto with fishing lake and heated poolBrittany," From £2,377 /Week"," Chateau / Country House, Bedroom(s): 8, Sleeps: 18"," four gites set in extensive grounds with fishing lake, heated pool, hot tubs  and games room. Sleeps 18 guests", ID#: 1284 |  Last update: 08-Nov-2021
438, L'EcuriePoitou-Charentes, From £350 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," A charming, beautifully refurbished two/three bedroom gite with heated pool, situated in the peaceful village of Migron, with baker and other shops, surrounded by vineyards and sunflower fields.", ID#: 1303 |  Last update: 19-Jun-2022
439, Maison du BonheurBrittany, From £537 /Week," House, Bedroom(s): 3, Sleeps: 5", Maison du Bonheur (literal meaning the happy house!) is a beautiful stone house in the heart of rural Brittany just a few minutes walk from the pretty village of Plésidy., ID#: 1285 |  Last update: 11-Apr-2022
440, Beautiful Renovated Barn with private above ground swimming poolAquitaine, From £550 /Week," Barn, Bedroom(s): 2, Sleeps: 4"," Our self contained Barn at Chez Bourgogne is a charming 2 bedroom, 2 bathroom dwelling attached to the original farmhouse in beautiful SW France with magnificent panoramic views and private 3mx5m pool", ID#: 1301 |  Last update: 28-Apr-2022
441, Traditional stone built property with heated poolMidi-Pyrenees," From £1,252 /Week"," Farmhouse, Bedroom(s): 5, Sleeps: 10"," ""Mas du Rocher"": a charming 19th century property built on bedrock along the river Lot.", ID#: 1297 |  Last update: 30-May-2022
442, Luxury villa with private pool and private tennis courtMidi-Pyrenees," From £1,165 /Week"," Villa, Bedroom(s): 3, Sleeps: 8"," A style-built “maison en pierre” built in the 90-ties, carefully renovated and modernized in 2018. The villa is set in a rural environment on 8 acres of private grounds, without neighbours in sight", ID#: 1283 |  Last update: 22-Jan-2022
443, Apartment in the centre of Royan close to the market and beachesPoitou-Charentes, From £390 /Week," Apartment, Bedroom(s): 2, Sleeps: 4"," The large, modern chalet-style apartment is on the top (fourth) floor of a quiet complex with views across Royan to the Gironde.", ID#: 1289 |  Last update: 15-Feb-2022
444, Maison RoseBrittany, From £863 /Week," House, Bedroom(s): 3, Sleeps: 6"," Maison Rose is a house in a lovely position in a quiet village on the River Rance, overlooking the marina.", ID#: 1278 |  Last update: 19-Oct-2021
445, Brand new apartment amidst the vineyards only 10 mins from the seaLanguedoc-Roussillon, From £561 /Week," Apartment, Bedroom(s): 2, Sleeps: 4", This superb 2 bedroom/2.5 bathroom apartment is situated on a working vineyard with wine-tasting and tour included and is only a few minutes drive from the seaside town and beach at Narbonne Plage., ID#: 1261 |  Last update: 01-Nov-2021
446, Moulin le Ponto with fishing lake and heated poolBrittany," From £2,377 /Week"," Chateau / Country House, Bedroom(s): 8, Sleeps: 18"," four gites set in extensive grounds with fishing lake, heated pool, hot tubs  and games room. Sleeps 18 guests", ID#: 1284 |  Last update: 08-Nov-2021
447, L'EcuriePoitou-Charentes, From £350 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," A charming, beautifully refurbished two/three bedroom gite with heated pool, situated in the peaceful village of Migron, with baker and other shops, surrounded by vineyards and sunflower fields.", ID#: 1303 |  Last update: 19-Jun-2022
448, Maison du BonheurBrittany, From £537 /Week," House, Bedroom(s): 3, Sleeps: 5", Maison du Bonheur (literal meaning the happy house!) is a beautiful stone house in the heart of rural Brittany just a few minutes walk from the pretty village of Plésidy., ID#: 1285 |  Last update: 11-Apr-2022
449, Charming renovated farmhouse with heated pool on private groundsMidi-Pyrenees," From £1,450 /Week"," Farmhouse, Bedroom(s): 6, Sleeps: 12"," Charming 19th century farmhouse, where we can receive up to 12 guests. An ideal family or group of friends location: no other properties in sight plus the privacy of your own 11×5 meter heated pool.", ID#: 1280 |  Last update: 22-Jan-2022
450, Traditional stone built property with heated poolMidi-Pyrenees," From £1,252 /Week"," Farmhouse, Bedroom(s): 5, Sleeps: 10"," ""Mas du Rocher"": a charming 19th century property built on bedrock along the river Lot.", ID#: 1297 |  Last update: 30-May-2022
451, Luxury villa with private pool and private tennis courtMidi-Pyrenees," From £1,165 /Week"," Villa, Bedroom(s): 3, Sleeps: 8"," A style-built “maison en pierre” built in the 90-ties, carefully renovated and modernized in 2018. The villa is set in a rural environment on 8 acres of private grounds, without neighbours in sight", ID#: 1283 |  Last update: 22-Jan-2022
452, Apartment in the centre of Royan close to the market and beachesPoitou-Charentes, From £390 /Week," Apartment, Bedroom(s): 2, Sleeps: 4"," The large, modern chalet-style apartment is on the top (fourth) floor of a quiet complex with views across Royan to the Gironde.", ID#: 1289 |  Last update: 15-Feb-2022
453, Maison RoseBrittany, From £863 /Week," House, Bedroom(s): 3, Sleeps: 6"," Maison Rose is a house in a lovely position in a quiet village on the River Rance, overlooking the marina.", ID#: 1278 |  Last update: 19-Oct-2021
454, Brand new apartment amidst the vineyards only 10 mins from the seaLanguedoc-Roussillon, From £561 /Week," Apartment, Bedroom(s): 2, Sleeps: 4", This superb 2 bedroom/2.5 bathroom apartment is situated on a working vineyard with wine-tasting and tour included and is only a few minutes drive from the seaside town and beach at Narbonne Plage., ID#: 1261 |  Last update: 01-Nov-2021
455, Moulin le Ponto with fishing lake and heated poolBrittany," From £2,377 /Week"," Chateau / Country House, Bedroom(s): 8, Sleeps: 18"," four gites set in extensive grounds with fishing lake, heated pool, hot tubs  and games room. Sleeps 18 guests", ID#: 1284 |  Last update: 08-Nov-2021
456, L'EcuriePoitou-Charentes, From £350 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," A charming, beautifully refurbished two/three bedroom gite with heated pool, situated in the peaceful village of Migron, with baker and other shops, surrounded by vineyards and sunflower fields.", ID#: 1303 |  Last update: 19-Jun-2022
457, Maison du BonheurBrittany, From £537 /Week," House, Bedroom(s): 3, Sleeps: 5", Maison du Bonheur (literal meaning the happy house!) is a beautiful stone house in the heart of rural Brittany just a few minutes walk from the pretty village of Plésidy., ID#: 1285 |  Last update: 11-Apr-2022
458, Charming renovated farmhouse with heated pool on private groundsMidi-Pyrenees," From £1,450 /Week"," Farmhouse, Bedroom(s): 6, Sleeps: 12"," Charming 19th century farmhouse, where we can receive up to 12 guests. An ideal family or group of friends location: no other properties in sight plus the privacy of your own 11×5 meter heated pool.", ID#: 1280 |  Last update: 22-Jan-2022
459," Roque Terrace, gite for 2 with great viewsAquitaine", From £354 /Week," Gite, Bedroom(s): 1, Sleeps: 2"," Gite with a great view on unesco world heritage: la Roque Saint Christophe, which is lit by night. Private terrace with BBQ, and a firecplace for colder days.", ID#: 1266 |  Last update: 10-Aug-2021
460, Luxury villa with private pool and private tennis courtMidi-Pyrenees," From £1,165 /Week"," Villa, Bedroom(s): 3, Sleeps: 8"," A style-built “maison en pierre” built in the 90-ties, carefully renovated and modernized in 2018. The villa is set in a rural environment on 8 acres of private grounds, without neighbours in sight", ID#: 1283 |  Last update: 22-Jan-2022
461, Apartment in the centre of Royan close to the market and beachesPoitou-Charentes, From £390 /Week," Apartment, Bedroom(s): 2, Sleeps: 4"," The large, modern chalet-style apartment is on the top (fourth) floor of a quiet complex with views across Royan to the Gironde.", ID#: 1289 |  Last update: 15-Feb-2022
462, Brand new apartment amidst the vineyards only 10 mins from the seaLanguedoc-Roussillon, From £561 /Week," Apartment, Bedroom(s): 2, Sleeps: 4", This superb 2 bedroom/2.5 bathroom apartment is situated on a working vineyard with wine-tasting and tour included and is only a few minutes drive from the seaside town and beach at Narbonne Plage., ID#: 1261 |  Last update: 01-Nov-2021
463, Maison RoseBrittany, From £863 /Week," House, Bedroom(s): 3, Sleeps: 6"," Maison Rose is a house in a lovely position in a quiet village on the River Rance, overlooking the marina.", ID#: 1278 |  Last update: 19-Oct-2021
464, Moulin le Ponto with fishing lake and heated poolBrittany," From £2,377 /Week"," Chateau / Country House, Bedroom(s): 8, Sleeps: 18"," four gites set in extensive grounds with fishing lake, heated pool, hot tubs  and games room. Sleeps 18 guests", ID#: 1284 |  Last update: 08-Nov-2021
465, L'EcuriePoitou-Charentes, From £350 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," A charming, beautifully refurbished two/three bedroom gite with heated pool, situated in the peaceful village of Migron, with baker and other shops, surrounded by vineyards and sunflower fields.", ID#: 1303 |  Last update: 19-Jun-2022
466, Maison du BonheurBrittany, From £537 /Week," House, Bedroom(s): 3, Sleeps: 5", Maison du Bonheur (literal meaning the happy house!) is a beautiful stone house in the heart of rural Brittany just a few minutes walk from the pretty village of Plésidy., ID#: 1285 |  Last update: 11-Apr-2022
467, Charming renovated farmhouse with heated pool on private groundsMidi-Pyrenees," From £1,450 /Week"," Farmhouse, Bedroom(s): 6, Sleeps: 12"," Charming 19th century farmhouse, where we can receive up to 12 guests. An ideal family or group of friends location: no other properties in sight plus the privacy of your own 11×5 meter heated pool.", ID#: 1280 |  Last update: 22-Jan-2022
468," Roque Terrace, gite for 2 with great viewsAquitaine", From £354 /Week," Gite, Bedroom(s): 1, Sleeps: 2"," Gite with a great view on unesco world heritage: la Roque Saint Christophe, which is lit by night. Private terrace with BBQ, and a firecplace for colder days.", ID#: 1266 |  Last update: 10-Aug-2021
469, Maison CupidonBrittany, From £641 /Week," House, Bedroom(s): 3, Sleeps: 6", A delightful house with a large garden. Maison Cupidon is situated in a peaceful location yet less than 5 minute walk from the centre of the medieval town of Josselin., ID#: 1262 |  Last update: 22-Jun-2022
470, Apartment in the centre of Royan close to the market and beachesPoitou-Charentes, From £390 /Week," Apartment, Bedroom(s): 2, Sleeps: 4"," The large, modern chalet-style apartment is on the top (fourth) floor of a quiet complex with views across Royan to the Gironde.", ID#: 1289 |  Last update: 15-Feb-2022
471, Brand new apartment amidst the vineyards only 10 mins from the seaLanguedoc-Roussillon, From £561 /Week," Apartment, Bedroom(s): 2, Sleeps: 4", This superb 2 bedroom/2.5 bathroom apartment is situated on a working vineyard with wine-tasting and tour included and is only a few minutes drive from the seaside town and beach at Narbonne Plage., ID#: 1261 |  Last update: 01-Nov-2021
472, Maison RoseBrittany, From £863 /Week," House, Bedroom(s): 3, Sleeps: 6"," Maison Rose is a house in a lovely position in a quiet village on the River Rance, overlooking the marina.", ID#: 1278 |  Last update: 19-Oct-2021
473, Moulin le Ponto with fishing lake and heated poolBrittany," From £2,377 /Week"," Chateau / Country House, Bedroom(s): 8, Sleeps: 18"," four gites set in extensive grounds with fishing lake, heated pool, hot tubs  and games room. Sleeps 18 guests", ID#: 1284 |  Last update: 08-Nov-2021
474, L'EcuriePoitou-Charentes, From £350 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," A charming, beautifully refurbished two/three bedroom gite with heated pool, situated in the peaceful village of Migron, with baker and other shops, surrounded by vineyards and sunflower fields.", ID#: 1303 |  Last update: 19-Jun-2022
475, Maison du BonheurBrittany, From £537 /Week," House, Bedroom(s): 3, Sleeps: 5", Maison du Bonheur (literal meaning the happy house!) is a beautiful stone house in the heart of rural Brittany just a few minutes walk from the pretty village of Plésidy., ID#: 1285 |  Last update: 11-Apr-2022
476, Charming renovated farmhouse with heated pool on private groundsMidi-Pyrenees," From £1,450 /Week"," Farmhouse, Bedroom(s): 6, Sleeps: 12"," Charming 19th century farmhouse, where we can receive up to 12 guests. An ideal family or group of friends location: no other properties in sight plus the privacy of your own 11×5 meter heated pool.", ID#: 1280 |  Last update: 22-Jan-2022
477," Roque Terrace, gite for 2 with great viewsAquitaine", From £354 /Week," Gite, Bedroom(s): 1, Sleeps: 2"," Gite with a great view on unesco world heritage: la Roque Saint Christophe, which is lit by night. Private terrace with BBQ, and a firecplace for colder days.", ID#: 1266 |  Last update: 10-Aug-2021
478, Maison CupidonBrittany, From £641 /Week," House, Bedroom(s): 3, Sleeps: 6", A delightful house with a large garden. Maison Cupidon is situated in a peaceful location yet less than 5 minute walk from the centre of the medieval town of Josselin., ID#: 1262 |  Last update: 22-Jun-2022
479, Traditional Stone Gite with private poolBrittany, From £570 /Week," Gite, Bedroom(s): 4, Sleeps: 8", Brécéhan is a traditional stone gite sleeping 8 with a large garden and fenced 11 x 5m pool in quiet countryside near to picturesque Rochefort en Terre., ID#: 1308 |  Last update: 20-May-2022
480, Maison RoseBrittany, From £863 /Week," House, Bedroom(s): 3, Sleeps: 6"," Maison Rose is a house in a lovely position in a quiet village on the River Rance, overlooking the marina.", ID#: 1278 |  Last update: 19-Oct-2021
481, Brand new apartment amidst the vineyards only 10 mins from the seaLanguedoc-Roussillon, From £561 /Week," Apartment, Bedroom(s): 2, Sleeps: 4", This superb 2 bedroom/2.5 bathroom apartment is situated on a working vineyard with wine-tasting and tour included and is only a few minutes drive from the seaside town and beach at Narbonne Plage., ID#: 1261 |  Last update: 01-Nov-2021
482, Moulin le Ponto with fishing lake and heated poolBrittany," From £2,377 /Week"," Chateau / Country House, Bedroom(s): 8, Sleeps: 18"," four gites set in extensive grounds with fishing lake, heated pool, hot tubs  and games room. Sleeps 18 guests", ID#: 1284 |  Last update: 08-Nov-2021
483, L'EcuriePoitou-Charentes, From £350 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," A charming, beautifully refurbished two/three bedroom gite with heated pool, situated in the peaceful village of Migron, with baker and other shops, surrounded by vineyards and sunflower fields.", ID#: 1303 |  Last update: 19-Jun-2022
484, Maison du BonheurBrittany, From £537 /Week," House, Bedroom(s): 3, Sleeps: 5", Maison du Bonheur (literal meaning the happy house!) is a beautiful stone house in the heart of rural Brittany just a few minutes walk from the pretty village of Plésidy., ID#: 1285 |  Last update: 11-Apr-2022
485, Charming renovated farmhouse with heated pool on private groundsMidi-Pyrenees," From £1,450 /Week"," Farmhouse, Bedroom(s): 6, Sleeps: 12"," Charming 19th century farmhouse, where we can receive up to 12 guests. An ideal family or group of friends location: no other properties in sight plus the privacy of your own 11×5 meter heated pool.", ID#: 1280 |  Last update: 22-Jan-2022
486," Roque Terrace, gite for 2 with great viewsAquitaine", From £354 /Week," Gite, Bedroom(s): 1, Sleeps: 2"," Gite with a great view on unesco world heritage: la Roque Saint Christophe, which is lit by night. Private terrace with BBQ, and a firecplace for colder days.", ID#: 1266 |  Last update: 10-Aug-2021
487, Maison CupidonBrittany, From £641 /Week," House, Bedroom(s): 3, Sleeps: 6", A delightful house with a large garden. Maison Cupidon is situated in a peaceful location yet less than 5 minute walk from the centre of the medieval town of Josselin., ID#: 1262 |  Last update: 22-Jun-2022
488, Traditional Stone Gite with private poolBrittany, From £570 /Week," Gite, Bedroom(s): 4, Sleeps: 8", Brécéhan is a traditional stone gite sleeping 8 with a large garden and fenced 11 x 5m pool in quiet countryside near to picturesque Rochefort en Terre., ID#: 1308 |  Last update: 20-May-2022
489, Cottage Gites With PoolBurgundy, From £455 /Week," Gite, Bedroom(s): 4, Sleeps: 8", Cottage: Gites with pool and many extras. for up to 8 persons including children, ID#: 1304 |  Last update: 27-Feb-2022
490, Brand new apartment amidst the vineyards only 10 mins from the seaLanguedoc-Roussillon, From £561 /Week," Apartment, Bedroom(s): 2, Sleeps: 4", This superb 2 bedroom/2.5 bathroom apartment is situated on a working vineyard with wine-tasting and tour included and is only a few minutes drive from the seaside town and beach at Narbonne Plage., ID#: 1261 |  Last update: 01-Nov-2021
491, Moulin le Ponto with fishing lake and heated poolBrittany," From £2,377 /Week"," Chateau / Country House, Bedroom(s): 8, Sleeps: 18"," four gites set in extensive grounds with fishing lake, heated pool, hot tubs  and games room. Sleeps 18 guests", ID#: 1284 |  Last update: 08-Nov-2021
492, L'EcuriePoitou-Charentes, From £350 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," A charming, beautifully refurbished two/three bedroom gite with heated pool, situated in the peaceful village of Migron, with baker and other shops, surrounded by vineyards and sunflower fields.", ID#: 1303 |  Last update: 19-Jun-2022
493, Maison du BonheurBrittany, From £537 /Week," House, Bedroom(s): 3, Sleeps: 5", Maison du Bonheur (literal meaning the happy house!) is a beautiful stone house in the heart of rural Brittany just a few minutes walk from the pretty village of Plésidy., ID#: 1285 |  Last update: 11-Apr-2022
494, Charming renovated farmhouse with heated pool on private groundsMidi-Pyrenees," From £1,450 /Week"," Farmhouse, Bedroom(s): 6, Sleeps: 12"," Charming 19th century farmhouse, where we can receive up to 12 guests. An ideal family or group of friends location: no other properties in sight plus the privacy of your own 11×5 meter heated pool.", ID#: 1280 |  Last update: 22-Jan-2022
495," Roque Terrace, gite for 2 with great viewsAquitaine", From £354 /Week," Gite, Bedroom(s): 1, Sleeps: 2"," Gite with a great view on unesco world heritage: la Roque Saint Christophe, which is lit by night. Private terrace with BBQ, and a firecplace for colder days.", ID#: 1266 |  Last update: 10-Aug-2021
496, Maison CupidonBrittany, From £641 /Week," House, Bedroom(s): 3, Sleeps: 6", A delightful house with a large garden. Maison Cupidon is situated in a peaceful location yet less than 5 minute walk from the centre of the medieval town of Josselin., ID#: 1262 |  Last update: 22-Jun-2022
497, Traditional Stone Gite with private poolBrittany, From £570 /Week," Gite, Bedroom(s): 4, Sleeps: 8", Brécéhan is a traditional stone gite sleeping 8 with a large garden and fenced 11 x 5m pool in quiet countryside near to picturesque Rochefort en Terre., ID#: 1308 |  Last update: 20-May-2022
498, Cottage Gites With PoolBurgundy, From £455 /Week," Gite, Bedroom(s): 4, Sleeps: 8", Cottage: Gites with pool and many extras. for up to 8 persons including children, ID#: 1304 |  Last update: 27-Feb-2022
499," The Farmhouse, Breton cottage in Village centreBrittany", From £425 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," In a quiet residential village center, traditional cottage with lovely commun garden (3 gites) and private outside sitting dining areas to enjoy barbecues during the summer evenings.", ID#: 1274 |  Last update: 19-Jun-2022
500, Moulin le Ponto with fishing lake and heated poolBrittany," From £2,377 /Week"," Chateau / Country House, Bedroom(s): 8, Sleeps: 18"," four gites set in extensive grounds with fishing lake, heated pool, hot tubs  and games room. Sleeps 18 guests", ID#: 1284 |  Last update: 08-Nov-2021
501, L'EcuriePoitou-Charentes, From £350 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," A charming, beautifully refurbished two/three bedroom gite with heated pool, situated in the peaceful village of Migron, with baker and other shops, surrounded by vineyards and sunflower fields.", ID#: 1303 |  Last update: 19-Jun-2022
502, Maison du BonheurBrittany, From £537 /Week," House, Bedroom(s): 3, Sleeps: 5", Maison du Bonheur (literal meaning the happy house!) is a beautiful stone house in the heart of rural Brittany just a few minutes walk from the pretty village of Plésidy., ID#: 1285 |  Last update: 11-Apr-2022
503, Charming renovated farmhouse with heated pool on private groundsMidi-Pyrenees," From £1,450 /Week"," Farmhouse, Bedroom(s): 6, Sleeps: 12"," Charming 19th century farmhouse, where we can receive up to 12 guests. An ideal family or group of friends location: no other properties in sight plus the privacy of your own 11×5 meter heated pool.", ID#: 1280 |  Last update: 22-Jan-2022
504," Roque Terrace, gite for 2 with great viewsAquitaine", From £354 /Week," Gite, Bedroom(s): 1, Sleeps: 2"," Gite with a great view on unesco world heritage: la Roque Saint Christophe, which is lit by night. Private terrace with BBQ, and a firecplace for colder days.", ID#: 1266 |  Last update: 10-Aug-2021
505, Maison CupidonBrittany, From £641 /Week," House, Bedroom(s): 3, Sleeps: 6", A delightful house with a large garden. Maison Cupidon is situated in a peaceful location yet less than 5 minute walk from the centre of the medieval town of Josselin., ID#: 1262 |  Last update: 22-Jun-2022
506, Traditional Stone Gite with private poolBrittany, From £570 /Week," Gite, Bedroom(s): 4, Sleeps: 8", Brécéhan is a traditional stone gite sleeping 8 with a large garden and fenced 11 x 5m pool in quiet countryside near to picturesque Rochefort en Terre., ID#: 1308 |  Last update: 20-May-2022
507, Cottage Gites With PoolBurgundy, From £455 /Week," Gite, Bedroom(s): 4, Sleeps: 8", Cottage: Gites with pool and many extras. for up to 8 persons including children, ID#: 1304 |  Last update: 27-Feb-2022
508," The Farmhouse, Breton cottage in Village centreBrittany", From £425 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," In a quiet residential village center, traditional cottage with lovely commun garden (3 gites) and private outside sitting dining areas to enjoy barbecues during the summer evenings.", ID#: 1274 |  Last update: 19-Jun-2022
509, 'Le Tilleuil' 2 bedroom Gite on CharenteDordogne borderPoitou-Charentes, From £495 /Week," Gite, Bedroom(s): 2, Sleeps: 6"," Le Tilleuil is a pretty, well appointed 3* gite and one half of our 18th century Farmhouse set in the commune of Combiers on the Charente/Dordogne border.", ID#: 1276 |  Last update: 08-Apr-2022
510, L'EcuriePoitou-Charentes, From £350 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," A charming, beautifully refurbished two/three bedroom gite with heated pool, situated in the peaceful village of Migron, with baker and other shops, surrounded by vineyards and sunflower fields.", ID#: 1303 |  Last update: 19-Jun-2022
511, Maison du BonheurBrittany, From £537 /Week," House, Bedroom(s): 3, Sleeps: 5", Maison du Bonheur (literal meaning the happy house!) is a beautiful stone house in the heart of rural Brittany just a few minutes walk from the pretty village of Plésidy., ID#: 1285 |  Last update: 11-Apr-2022
512, Charming renovated farmhouse with heated pool on private groundsMidi-Pyrenees," From £1,450 /Week"," Farmhouse, Bedroom(s): 6, Sleeps: 12"," Charming 19th century farmhouse, where we can receive up to 12 guests. An ideal family or group of friends location: no other properties in sight plus the privacy of your own 11×5 meter heated pool.", ID#: 1280 |  Last update: 22-Jan-2022
513," Roque Terrace, gite for 2 with great viewsAquitaine", From £354 /Week," Gite, Bedroom(s): 1, Sleeps: 2"," Gite with a great view on unesco world heritage: la Roque Saint Christophe, which is lit by night. Private terrace with BBQ, and a firecplace for colder days.", ID#: 1266 |  Last update: 10-Aug-2021
514, Maison CupidonBrittany, From £641 /Week," House, Bedroom(s): 3, Sleeps: 6", A delightful house with a large garden. Maison Cupidon is situated in a peaceful location yet less than 5 minute walk from the centre of the medieval town of Josselin., ID#: 1262 |  Last update: 22-Jun-2022
515, Traditional Stone Gite with private poolBrittany, From £570 /Week," Gite, Bedroom(s): 4, Sleeps: 8", Brécéhan is a traditional stone gite sleeping 8 with a large garden and fenced 11 x 5m pool in quiet countryside near to picturesque Rochefort en Terre., ID#: 1308 |  Last update: 20-May-2022
516, Cottage Gites With PoolBurgundy, From £455 /Week," Gite, Bedroom(s): 4, Sleeps: 8", Cottage: Gites with pool and many extras. for up to 8 persons including children, ID#: 1304 |  Last update: 27-Feb-2022
517," The Farmhouse, Breton cottage in Village centreBrittany", From £425 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," In a quiet residential village center, traditional cottage with lovely commun garden (3 gites) and private outside sitting dining areas to enjoy barbecues during the summer evenings.", ID#: 1274 |  Last update: 19-Jun-2022
518, 'Le Tilleuil' 2 bedroom Gite on CharenteDordogne borderPoitou-Charentes, From £495 /Week," Gite, Bedroom(s): 2, Sleeps: 6"," Le Tilleuil is a pretty, well appointed 3* gite and one half of our 18th century Farmhouse set in the commune of Combiers on the Charente/Dordogne border.", ID#: 1276 |  Last update: 08-Apr-2022
519, Les Petits ChênesBrittany, From £899 /Week," Villa, Bedroom(s): 3, Sleeps: 6"," Longère style Villa, 6/8 beds, in coastal sailing port of La Trinité-sur-Mer, Morbihan, Brittany.Between 'Mer et Terre'", ID#: 1277 |  Last update: 16-Apr-2022
520, Maison du BonheurBrittany, From £537 /Week," House, Bedroom(s): 3, Sleeps: 5", Maison du Bonheur (literal meaning the happy house!) is a beautiful stone house in the heart of rural Brittany just a few minutes walk from the pretty village of Plésidy., ID#: 1285 |  Last update: 11-Apr-2022
521, Charming renovated farmhouse with heated pool on private groundsMidi-Pyrenees," From £1,450 /Week"," Farmhouse, Bedroom(s): 6, Sleeps: 12"," Charming 19th century farmhouse, where we can receive up to 12 guests. An ideal family or group of friends location: no other properties in sight plus the privacy of your own 11×5 meter heated pool.", ID#: 1280 |  Last update: 22-Jan-2022
522," Roque Terrace, gite for 2 with great viewsAquitaine", From £354 /Week," Gite, Bedroom(s): 1, Sleeps: 2"," Gite with a great view on unesco world heritage: la Roque Saint Christophe, which is lit by night. Private terrace with BBQ, and a firecplace for colder days.", ID#: 1266 |  Last update: 10-Aug-2021
523, Maison CupidonBrittany, From £641 /Week," House, Bedroom(s): 3, Sleeps: 6", A delightful house with a large garden. Maison Cupidon is situated in a peaceful location yet less than 5 minute walk from the centre of the medieval town of Josselin., ID#: 1262 |  Last update: 22-Jun-2022
524, Traditional Stone Gite with private poolBrittany, From £570 /Week," Gite, Bedroom(s): 4, Sleeps: 8", Brécéhan is a traditional stone gite sleeping 8 with a large garden and fenced 11 x 5m pool in quiet countryside near to picturesque Rochefort en Terre., ID#: 1308 |  Last update: 20-May-2022
525, Cottage Gites With PoolBurgundy, From £455 /Week," Gite, Bedroom(s): 4, Sleeps: 8", Cottage: Gites with pool and many extras. for up to 8 persons including children, ID#: 1304 |  Last update: 27-Feb-2022
526," The Farmhouse, Breton cottage in Village centreBrittany", From £425 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," In a quiet residential village center, traditional cottage with lovely commun garden (3 gites) and private outside sitting dining areas to enjoy barbecues during the summer evenings.", ID#: 1274 |  Last update: 19-Jun-2022
527, 'Le Tilleuil' 2 bedroom Gite on CharenteDordogne borderPoitou-Charentes, From £495 /Week," Gite, Bedroom(s): 2, Sleeps: 6"," Le Tilleuil is a pretty, well appointed 3* gite and one half of our 18th century Farmhouse set in the commune of Combiers on the Charente/Dordogne border.", ID#: 1276 |  Last update: 08-Apr-2022
528, Les Petits ChênesBrittany, From £899 /Week," Villa, Bedroom(s): 3, Sleeps: 6"," Longère style Villa, 6/8 beds, in coastal sailing port of La Trinité-sur-Mer, Morbihan, Brittany.Between 'Mer et Terre'", ID#: 1277 |  Last update: 16-Apr-2022
529, La RivaudierePoitou-Charentes, From £500 /Week," Gite, Bedroom(s): 3, Sleeps: 6"," Large house with private pool in Deux SevresPRICE REDUCED 24th September- 1st October was £ 700 NOW £ 500
Price reduction for a couple all season", ID#: 1268 |  Last update: 19-May-2022
530, Charming renovated farmhouse with heated pool on private groundsMidi-Pyrenees," From £1,450 /Week"," Farmhouse, Bedroom(s): 6, Sleeps: 12"," Charming 19th century farmhouse, where we can receive up to 12 guests. An ideal family or group of friends location: no other properties in sight plus the privacy of your own 11×5 meter heated pool.", ID#: 1280 |  Last update: 22-Jan-2022
531," Roque Terrace, gite for 2 with great viewsAquitaine", From £354 /Week," Gite, Bedroom(s): 1, Sleeps: 2"," Gite with a great view on unesco world heritage: la Roque Saint Christophe, which is lit by night. Private terrace with BBQ, and a firecplace for colder days.", ID#: 1266 |  Last update: 10-Aug-2021
532, Maison CupidonBrittany, From £641 /Week," House, Bedroom(s): 3, Sleeps: 6", A delightful house with a large garden. Maison Cupidon is situated in a peaceful location yet less than 5 minute walk from the centre of the medieval town of Josselin., ID#: 1262 |  Last update: 22-Jun-2022
533, Traditional Stone Gite with private poolBrittany, From £570 /Week," Gite, Bedroom(s): 4, Sleeps: 8", Brécéhan is a traditional stone gite sleeping 8 with a large garden and fenced 11 x 5m pool in quiet countryside near to picturesque Rochefort en Terre., ID#: 1308 |  Last update: 20-May-2022
